"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2017","10,477.30","10,402.65","10,489.45","10,402.65","7.00M","1.05%"
"Oct 31, 2017","10,368.50","10,375.15","10,388.80","10,350.00","4.62M","-0.19%"
"Oct 30, 2017","10,388.45","10,380.25","10,404.90","10,368.10","4.30M","0.31%"
"Oct 27, 2017","10,356.85","10,371.00","10,390.00","10,346.00","5.78M","0.13%"
"Oct 26, 2017","10,343.80","10,279.80","10,354.30","10,267.50","15.47M","0.52%"
"Oct 25, 2017","10,289.90","10,335.00","10,351.00","10,247.70","12.10M","0.69%"
"Oct 24, 2017","10,219.30","10,203.05","10,244.00","10,187.75","11.02M","0.29%"
"Oct 23, 2017","10,189.70","10,175.00","10,226.65","10,119.60","11.48M","-0.09%"
"Oct 20, 2017","10,198.50","10,161.25","10,201.25","10,155.50","-","0.52%"
"Oct 19, 2017","10,146.15","10,211.75","10,211.75","10,107.10","3.39M","-0.89%"
"Oct 18, 2017","10,237.50","10,229.00","10,251.95","10,195.25","6.14M","-0.16%"
"Oct 17, 2017","10,253.70","10,240.65","10,271.40","10,228.00","5.13M","-0.02%"
"Oct 16, 2017","10,255.95","10,220.00","10,260.95","10,197.00","9.05M","0.62%"
"Oct 13, 2017","10,192.40","10,130.00","10,219.20","10,117.00","9.98M","0.80%"
"Oct 12, 2017","10,111.40","10,018.00","10,117.40","9,995.05","8.69M","1.19%"
"Oct 11, 2017","9,992.50","10,052.00","10,084.00","9,969.50","9.71M","-0.43%"
"Oct 10, 2017","10,035.70","10,029.20","10,047.90","10,012.50","4.48M","0.19%"
"Oct 09, 2017","10,016.55","9,991.30","10,033.00","9,983.65","5.04M","0.13%"
"Oct 06, 2017","10,003.40","9,930.10","10,017.85","9,928.05","7.43M","0.96%"
"Oct 05, 2017","9,908.70","9,931.00","9,965.00","9,899.05","6.34M","-0.22%"
"Oct 04, 2017","9,930.45","9,866.30","9,954.00","9,860.40","9.10M","0.63%"
"Oct 03, 2017","9,868.45","9,895.00","9,896.00","9,838.20","6.69M","0.07%"
"Oct 02, 2017","9,861.75","9,858.00","9,875.75","9,827.25","-","0.62%"
"Sep 29, 2017","9,800.55","9,802.35","9,881.00","9,788.00","10.10M","0.32%"
"Sep 28, 2017","9,768.95","9,723.15","9,777.45","9,695.00","14.98M","0.30%"
"Sep 27, 2017","9,739.65","9,898.25","9,900.60","9,718.25","14.71M","-1.29%"
"Sep 26, 2017","9,866.95","9,861.95","9,904.40","9,825.00","9.50M","-0.12%"
"Sep 25, 2017","9,878.65","9,965.00","9,969.25","9,841.10","12.86M","-1.04%"
"Sep 22, 2017","9,982.95","10,085.15","10,099.00","9,973.70","12.26M","-1.54%"
"Sep 21, 2017","10,138.85","10,151.75","10,174.50","10,072.65","8.86M","-0.28%"
"Sep 20, 2017","10,167.55","10,170.00","10,181.65","10,155.00","3.92M","-0.01%"
"Sep 19, 2017","10,168.85","10,175.60","10,179.00","10,148.05","4.54M","-0.06%"
"Sep 18, 2017","10,175.30","10,142.00","10,188.80","10,140.00","5.51M","0.73%"
"Sep 15, 2017","10,101.95","10,080.05","10,132.40","10,065.00","9.00M","-0.12%"
"Sep 14, 2017","10,114.45","10,087.35","10,143.45","10,087.35","6.02M","0.23%"
"Sep 13, 2017","10,091.45","10,105.00","10,144.70","10,078.00","7.11M","-0.16%"
"Sep 12, 2017","10,107.90","10,055.00","10,114.35","10,036.70","6.74M","0.82%"
"Sep 11, 2017","10,025.90","9,995.55","10,049.50","9,985.25","6.82M","0.76%"
"Sep 08, 2017","9,950.00","9,973.70","9,978.00","9,920.95","5.96M","-0.05%"
"Sep 07, 2017","9,954.70","9,958.25","9,982.00","9,947.00","4.91M","0.19%"
"Sep 06, 2017","9,935.35","9,925.55","9,954.75","9,909.95","6.63M","-0.36%"
"Sep 05, 2017","9,971.60","9,945.00","9,982.00","9,915.25","6.92M","0.44%"
"Sep 04, 2017","9,927.65","10,009.00","10,009.00","9,887.00","9.87M","-0.80%"
"Sep 01, 2017","10,007.30","9,945.30","10,017.85","9,937.55","6.66M","0.90%"
"Aug 31, 2017","9,917.90","9,871.00","9,922.05","9,855.20","13.71M","0.35%"
"Aug 30, 2017","9,883.60","9,850.25","9,918.80","9,846.50","9.34M","0.86%"
"Aug 29, 2017","9,799.00","9,879.00","9,879.00","9,782.70","11.96M","-1.19%"
"Aug 28, 2017","9,917.05","9,905.75","9,939.35","9,884.30","7.89M","0.22%"
"Aug 25, 2017","9,895.75","9,895.25","9,926.50","9,859.25","-","0.23%"
"Aug 24, 2017","9,873.25","9,872.00","9,889.50","9,852.15","5.09M","0.11%"
"Aug 23, 2017","9,862.30","9,811.00","9,874.25","9,797.00","8.02M","0.79%"
"Aug 22, 2017","9,784.65","9,810.50","9,837.45","9,769.80","10.44M","0.16%"
"Aug 21, 2017","9,768.60","9,869.95","9,884.00","9,755.00","9.28M","-0.87%"
